,Topic,Count,Name,Representation,Representative_Docs
70,69,1904,69_emails_server_email_classified,"['emails', 'server', 'email', 'classified', 'mails', 'private', 'hillary', 'clinton', 'information', 'clearance']","[""i followed the slime trail and look at where it led good ole lanny davis who served as bill clinton's special counsel when he was pres is it any wonder that hillary's defense has been peppered with what i've always thought were ' clinton isms ' but have been lanny's double talk all along first as clinton repeatedly has stated over the last year she never received or sent any email that was marked as classified none that was ' marked ' classified that is not to say that they were not classified it all depends upon what your definition of classified is right clinton s repeated assertions that she had never sent or received emails marked as classified to say that a government email was not ' marked as classified ' is not the same as saying that the content was not classified information hillary and others receive special instructions concerning how messages are to be categorized according to their level of sensitivity and they sign a statement that they understand the instructions also it's a very big no no to send any messages which are marked as being classified over an unsecured network private email server there is no evidence none that the former secretary of state in fact compromised national security by using a private server how does one prove a negative sophisticated hackers from a foreign power do not necessarily leave a trail the state department server state gov was a known definite risk we know that the department server has been hacked multiple times by chinese and russian hackers and so the implied defense here is that hillary's server was decidedly more secure than the official government system that doesn't make it any less ' illegal ' more than state department officials including many longtime nonpartisan career professionals and diplomats also used the same nonclassified channels to send her these emails allegedly containing classified information if over state professionals and experts didn t recognize classified information in the emails they sent to clinton and they used nonsecure channels to send them to her then how can clinton plausibly be accused alone of showing extreme carelessness because she should have known what plus government professionals did not i don t think she can this is the ' everybody else was breaking the law so why should hillary be singled out ' defense fact hillary insisted on exerting complete control over all her email communications both private and government since nobody told her that she shouldn't do this she maintains the it was allowed defense the only way to communicate with hillary via email was thru her private email account hosted on her own private server and thus over state professionals and experts were forced to comply with hillary's will and this is the main reason that she was not prosecuted if hillary's petulant actions were analyzed in court a great many other officials all the way up to the president of the united states would have been dragged into the vortex of this particular clinton cesspool at a very politically sensitive time director comey was in a difficult position a position which is not likely to be much different when he investigates the perjury charges"", ""where are bill's wife's emails on a private server"", ""probably not more like classified emails on hillary's server""]"
71,70,1899,70_swamp_drain_draining_drained,"['swamp', 'drain', 'draining', 'drained', 'creatures', 'creature', 'swampy', 'swamps', 'trump', 'filling']","['the swamp', 'fill the swamp', 'the swamp']"
72,71,1888,71_blocked_block_blocking_bye,"['blocked', 'block', 'blocking', 'bye', 'troll', 'comment', 'unhush', 'user', 'stupidity', 'bot']","['i blocked him', 'because you are blocked by', 'you blocked']"
73,72,1830,72_cuomo_cuomos_nursing_andrew,"['cuomo', 'cuomos', 'nursing', 'andrew', 'ny', 'homes', 'governor', 'york', 'covid', 'deaths']","[""cuomo's gonna cuomo"", 'no cuomo', 'like cuomo did']"
74,73,1795,73_hunter_mccarthy_hunters_biden,"['hunter', 'mccarthy', 'hunters', 'biden', 'joe', 'duncan', 'mccarthyism', 'kevin', 'laptop', 'mccarthys']","['is that you hunter', 'where is hunter', ""where's hunter""]"
75,74,1793,74_facebook_fb_users_data,"['facebook', 'fb', 'users', 'data', 'facebooks', 'google', 'account', 'privacy', 'social', 'platform']","['facebook must go', 'never been to facebook', ""what's facebook""]"
76,75,1785,75_puerto_rico_statehood_ricans,"['puerto', 'rico', 'statehood', 'ricans', 'rican', 'commonwealth', 'island', 'pr', 'ricos', 'territory']","['who is the president of puerto rico', 'do you even know where puerto rico is', 'but what about puerto rico']"
77,76,1771,76_garland_kennedy_gorsuch_scalia,"['garland', 'kennedy', 'gorsuch', 'scalia', 'roberts', 'jfk', 'merrick', 'kennedys', 'hoyer', 'ted']","['merrick garland', 'merrick garland', 'much more than the gop did for garland']"
78,77,1724,77_rubio_marco_cruz_rubios,"['rubio', 'marco', 'cruz', 'rubios', 'born', 'citizen', 'canadian', 'florida', 'natural', 'citizenship']","['clinton rubio', 'rubio said he would not be there', 'rubio is right']"
79,78,1666,78_cletus_whining_whine_butthurt,"['cletus', 'whining', 'whine', 'butthurt', 'whiner', 'fiction', 'sieg', 'qtards', 'heil', 'qtard']","[""he's good cletus"", 'so how was it cletus', ""who's we cletus""]"
80,79,1663,79_reid_harry_reids_senate,"['reid', 'harry', 'reids', 'senate', 'bills', 'nevada', 'leader', 'house', 'option', 'majority']","['the problem is in the senate his name is harry reid', 'are you harry reid', 'harry reid did it']"
81,80,1626,80_flynn_manafort_flynns_mueller,"['flynn', 'manafort', 'flynns', 'mueller', 'guilty', 'manaforts', 'michael', 'fbi', 'plea', 'lied']","['he had to find out what flynn said and if was against the law', 'flynn is a democrat', 'is that you flynn']"
82,81,1594,81_history_deplorables_yada_deplorable,"['history', 'deplorables', 'yada', 'deplorable', 'bitter', 'trust', 'twain', 'book', 'misspelled', 'books']","['or any know anything about history', 'what is that history', 'more history less for you']"
83,82,1593,82_clown_clowns_circus_buttigieg,"['clown', 'clowns', 'circus', 'buttigieg', 'xiden', 'lump', 'hookers', 'car', 'rick', 'hubbell']","['you are a clown', ""you're a clown"", 'you are a clown']"
84,83,1590,83_math_numbers_statistics_stats,"['math', 'numbers', 'statistics', 'stats', 'number', 'data', 'breath', 'stat', 'arithmetic', 'percent']","['please show us that you can do math', ""they used your numbers against the us population don't like the math"", 'run the numbers do the math lol']"
85,84,1558,84_colbert_snl_tweets_tweet,"['colbert', 'snl', 'tweets', 'tweet', 'twitter', 'tweeting', 'natasha', 'colberts', 'trump', 'libel']","['if someone says something on colbert did it really happen', 'who is this colbert person and why should i care', 'that was a good one colbert is the man']"
86,85,1551,85_epstein_mattis_epsteins_hastert,"['epstein', 'mattis', 'epsteins', 'hastert', 'jeffrey', 'dennis', 'roy', 'island', 'lago', 'mar']","['trump knew epstein for over years', 'sounds like something epstein would have been into', 'just epstein the guy']"
87,86,1519,86_article_read_articles_reading,"['article', 'read', 'articles', 'reading', 'didnt', 'commenting', 'comment', 'did', 'try', 'bother']","['what has this to do with the article', 'where is that in this article', 'it is in the article']"
88,87,1495,87_moore_roy_alabama_moores,"['moore', 'roy', 'alabama', 'moores', 'pedophile', 'michael', 'mall', 'girls', 'judge', 'strange']","['roy moore', 'roy moore', 'roy moore']"
89,88,1476,88_snowflake_snowflakes_triggered_dish,"['snowflake', 'snowflakes', 'triggered', 'dish', 'alexander', 'hours', 'ago', 'lol', 'safe', 'space']","[""you're such a snowflake"", 'what a snowflake', 'what a snowflake']"
90,89,1471,89_mcconnell_walker_mitch_mcconnells,"['mcconnell', 'walker', 'mitch', 'mcconnells', 'kentucky', 'senate', 'coburn', 'bevin', 'scott', 'leader']","['just like mcconnell is same same', 'just get it done mcconnell', 'mcconnell me too']"
91,90,1421,90_reagan_ronald_reagans_bush,"['reagan', 'ronald', 'reagans', 'bush', 'war', 'obama', 'military', 'president', 'iraq', 'soviet']","['they will get trump like reagan', 'and reagan', 'do a reagan and fire them all']"
92,91,1412,91_venezuela_maduro_venezuelan_japan,"['venezuela', 'maduro', 'venezuelan', 'japan', 'japanese', 'chavez', 'venezuelans', 'venezuelas', 'socialism', 'oil']","['like in venezuela', 'where in venezuela', 'we have become venezuela']"
93,92,1408,92_schumer_moscow_mitch_collins,"['schumer', 'moscow', 'mitch', 'collins', 'chuck', 'schumers', 'susan', 'mitchs', 'senate', 'shutdown']","['schumer will vote against it', ""he could not get schumer's vote"", 'not much schumer can do']"
94,93,1400,93_ukraine_crimea_ukrainian_russia,"['ukraine', 'crimea', 'ukrainian', 'russia', 'kiev', 'nato', 'russian', 'ukrainians', 'putin', 'eastern']","['why would any one want to go to the ukraine', 'next up ukraine', 'ukraine is part of russia and always will be']"
95,94,1390,94_kavanaugh_patriot_kavanaughs_act,"['kavanaugh', 'patriot', 'kavanaughs', 'act', 'brett', 'burr', 'court', 'supreme', 'confirmation', 'judge']","['nor would kavanaugh', 'kavanaugh etc', 'kavanaugh will still be there']"
96,95,1387,95_rudy_giuliani_rudys_giulianis,"['rudy', 'giuliani', 'rudys', 'giulianis', 'ghouliani', 'lawyer', 'attorney', 'trump', 'mayor', 'truth']","['who rudy', 'rudy giuliani is next', 'and rudy giuliani']"
97,96,1371,96_ryan_paul_ryans_speaker,"['ryan', 'paul', 'ryans', 'speaker', 'rino', 'lyin', 'republican', 'gop', 'house', 'party']","['good for paul ryan', 'paul ryan', 'both he and ryan will be']"
98,97,1354,97_nafta_tpp_trade_agreement,"['nafta', 'tpp', 'trade', 'agreement', 'tpa', 'deal', 'mexico', 'signed', 'canada', 'china']","[""how so you agree they're against nafta and tpp right"", 'so the new nafta is going to look more like tpp', 'nafta is going to become more like tpp lol']"
99,98,1343,98_graham_lindsey_lindsay_grahams,"['graham', 'lindsey', 'lindsay', 'grahams', 'miss', 'lindseys', 'ms', 'carolina', 'sc', 'trump']","['like lindsey graham', 'all except lindsey graham', 'and lindsey graham']"
100,99,1316,99_hispanic_hispanics_latino_latinos,"['hispanic', 'hispanics', 'latino', 'latinos', 'citizenship', 'spanish', 'born', 'citizen', 'birthright', 'illegal']","['i have never met a hispanic who voted democrat and i know more hispanics than you', ""get the hispanic vote out and you don't have to worry about the gop they really hate hispanics"", 'this is not about hispanics or latinos this is about illegals']"
101,100,1307,100_id_voter_ids_photo,"['id', 'voter', 'ids', 'photo', 'voting', 'vote', 'card', 'identification', 'laws', 'fraud']","[""or id's"", 'voter id for all national id for none', 'why are you against voter id']"
102,101,1296,101_rino_rinos_conservatives_conservative,"['rino', 'rinos', 'conservatives', 'conservative', 'republican', 'party', 'gop', 'establishment', 'republicans', 'democrats']","[""it's rino i'm not a con"", 'he s a rino', 'she s a rino']"
103,102,1279,102_dotard_dotards_dotus_kim,"['dotard', 'dotards', 'dotus', 'kim', 'orange', 'jr', 'donald', 'fat', 'love', 'obese']","['a dotard', 'who is dotard', 'cry it out dotard']"
104,103,1276,103_triggered_projection_projecting_fake,"['triggered', 'projection', 'projecting', 'fake', 'jfc', 'youre', 'triggering', 'lol', 'trigger', 'poster']","['you seem triggered', ""why what's to be triggered"", 'you be triggered']"
105,104,1267,104_bigot_bigotry_bigots_bigoted,"['bigot', 'bigotry', 'bigots', 'bigoted', 'christian', 'god', 'christians', 'lewis', 'religion', 'religious']","['once a bigot always a bigot', 'once a bigot always a bigot', 'bigot are you']"
106,105,1249,105_libertarian_limits_libertarians_term,"['libertarian', 'limits', 'libertarians', 'term', 'cotton', 'durbin', 'libertarianism', 'tock', 'tick', 'gridlock']","['this is the reason we need term limits', 'can they ever get anything right term limits', 'what is she like years old time for term limits']"
107,106,1246,106_sessions_issa_libby_jeff,"['sessions', 'issa', 'libby', 'jeff', 'whistleblower', 'ag', 'gates', 'libbys', 'whistle', 'whistleblowers']","['lol is that you sessions', 'make it sessions and trump', 'trump sessions']"
108,107,1241,107_koch_brothers_kochs_bros,"['koch', 'brothers', 'kochs', 'bros', 'soros', 'charles', 'industries', 'money', 'funded', 'kochroach']","['paying back the koch brothers', 'koch brothers koch brothers koch brothers koch brothers koch brothers koch brothers koch brothers koch brothers koch brothers koch brothers koch brothers koch brothers koch brothers koch brothers koch brothers koch brothers koch brothers koch brothers koch brothers koch brothers koch brothers koch brothers koch brothers koch brothers koch brothers koch brothers', 'go back to the koch brothers']"
109,108,1235,108_germany_camps_allies_germans,"['germany', 'camps', 'allies', 'germans', 'concentration', 'negotiator', 'hungary', 'negotiating', 'german', 'negotiate']","['how many countries are in germany', 'germany did indeed', 'no more like germany']"
110,109,1187,109_obozo_obozos_obummer_obozocare,"['obozo', 'obozos', 'obummer', 'obozocare', 'obongo', 'ob', 'obammy', 'obo', 'oblamo', 'obie']","['keep trying obozo out', 'who is obozo', 'not as much as obozo did']"
111,110,1187,110_draft_generals_dodger_military,"['draft', 'generals', 'dodger', 'military', 'dodging', 'dodgers', 'socialist', 'totalitarian', 'soldiers', 'marxist']","['there was no draft', 'where is the draft', 'he said the draft dodger is no patriot and other generals have too']"
112,111,1184,111_dementia_alzheimers_joe_alzheimer,"['dementia', 'alzheimers', 'joe', 'alzheimer', 'patient', 'joes', 'disease', 'don', 'onset', 'senile']","['dementia does that', 'that was dementia joe', 'it s dementia']"
113,112,1148,112_soros_george_funded_paid,"['soros', 'george', 'funded', 'paid', 'collaborator', 'nazi', 'troll', 'nazis', 'pays', 'money']","['or soros', 'and soros', 'soros who']"
114,113,1139,113_ebola_africa_infected_cdc,"['ebola', 'africa', 'infected', 'cdc', 'disease', 'outbreak', 'liberia', 'flights', 'virus', 'countries']","['if you like not having ebola you can keep not having ebola', 'obama ebola', 'ebola v']"
115,114,1078,114_rent_land_job_silicon,"['rent', 'land', 'job', 'silicon', 'free', 'head', 'valley', 'lands', 'living', 'federal']","['no living in your head rent free', ""he's still living in your head rent free"", ""and he's living in your head rent free""]"
116,115,1052,115_lies_lie_lying_trump,"['lies', 'lie', 'lying', 'trump', 'liar', 'lied', 'truth', 'pathological', 'donald', 'trumps']","['he lies more than trump', 'who or what lies more than trump', ""another one of trump's lies""]"
117,116,1042,116_christie_chris_christies_jersey,"['christie', 'chris', 'christies', 'jersey', 'nj', 'governor', 'bridgegate', 'bridge', 'fat', 'gov']","['let someone else run enough of christie', 'christie for congress', 'when will christie get his']"
118,117,1019,117_canada_veterans_canadian_canadians,"['canada', 'veterans', 'canadian', 'canadians', 'trudeau', 'va', 'socialism', 'military', 'socialist', 'service']","['canada sure', 'love him or hate him he has taken more steps to help our veteran than any previous president steps taken by the obama administration to support veterans and military families include strengthening the va under president obama the va has received record levels offunding with the fy budget calling for billion in discretionary spending and billion in mandatory funding in addition the administration has made it clear that veterans benefits are exempt from sequestration strengthening military and veteran education benefits in april president obama signed an executive order to help ensure all of america s service members veterans spouses and other family members have the information they need to make informed educational decisions and are protected from aggressive and deceptive targeting by educational institutions extending benefits to victims of agent orange in the last two years va has processed claims and awarded billion in retroactive benefits to nearly veterans and survivors who were harmed by agent orange mental health the deployment health clinical center dhcc a component center of defense centers of excellence developed the respect mil program which enables primary care providers to screen and treat patients for ptsd and depression to date the program has screened over one million primary care patients identifying more than service members with previously unmet psychological health needs and referred them to care the program has expanded to more than primary care clinics across more than military treatment facilities today more than dod military family life consultants mflc provide support on active duty installations in all states four territories and the district of columbia in fy mflcs provided approximately million face to face counseling sessions ending veterans homelessness the obama administration is on pace to meet the president s goal of ending veterans homelessness by the number of homeless veterans has decreased by percent from to on a given night working to prevent suicide va has increased the number of mental health professionals by percent since and in april announced they would hire an additional mental health providers since va has increased the mental health care budget by percent the department of defense has made suicide prevention a top priority increased behavioral health care providers by over past three years and increased the number of these health care providers in front line units eliminating the disability claims backlog while va has processed more than one million disability claims in the last year more work remains to be done va has redeployed claims experts to target and tackle the most complex claims in the backlog the department is also deploying new technology and procedures to ensure our veterans get the timely quality benefits they need and deserve supporting veterans with post traumatic stress disorder in july the va published a historic change to its rules streamlining the process and paperwork needed by combat veterans to pursue a claim for disability pay for post traumatic stress disorder ptsd the va has also expanded its mental health programs hiring more than mental health professionals since additionally va s budget proposal includes billion for mental health initiatives honoring vietnam veterans president obama and the entire federal government have partnered with state and local governments private organizations and communities across america to launch the commemoration of the th anniversary of the vietnam war a year program to honor and give thanks to a generation of proud americans who saw our country through one of the most challenging missions we have ever faced and pay tribute to the more than million men and women who answered the call of duty with courage and valor traumatic brain injury va has launched a comprehensive program to identify screen and treat all veterans with traumatic brain injury tbi and to ensure that they receive patient centered integrated care and benefits president obama signed an amendment to the americans with disabilities act which allows individuals with ptsd and tbi to more easily seek legal protections as they look for and participate in employment opportunities extend the transition program period from days to days strengthen standardize and expand counseling and guidance for service members before leaving the military transform the military s approach to education training and credentialing for service members transition gps will be implemented throughout the armed forces by the end of and includes the following key components pre separation assessment and individual counseling through the new transition program separating service members will have individual counseling to discuss their career goals and start their transition process subsequently members will have a needs and goals assessment coupled with a counseling session about benefits resources and available assistance across a wide scope of military separation topics each service member will develop an individual transition plan that documents his or her personal transition as well as the deliverables he or she must attain to meet the new transition program s career readiness standards day core curriculum the five day transition gps core curriculum will include a financial planning seminar a workshop offered by the department of veterans affairs on available veterans benefits and services and a re designed employment workshop offered by the department of labor transitioning service members will also undertake a military occupational code crosswalk to translate their military skills training and experience into civilian occupations credentials and employment an individual transition plan session will allow members to seek guidance from subject matter experts identify career goals and develop a roadmap for their transition career specific additional curriculum in addition to completing the transition gps core curriculum transitioning service members will also have the option of participating in a series of two day tailored tracks within the transition gps curriculum an education track for those pursuing a higher education degree a technical and skills training track for those seeking job ready skills and industry recognized credentials in shorter term training programs and an entrepreneurship track for those wanting to start a business capstone event before their separation from military service service members will participate in a capstone event which will verify that transitioning service members completed the transition gpscurriculum and achieved career readiness standards service members who require additional assistance will be referred to supplemental training opportunities in addition through the capstone event all service members will be offered a warm handover to appropriate government agencies and organizations that will be able to provide them continued benefits services and support as veterans military life cycle transition model the new transition program will incorporate career readiness and transition preparation into the entire span of a service member s career in the past transition and preparation for the civilian workforce occurred late in a service member s time in the military near the point of separation under this new program these concepts will be incorporated earlier to ensure that the counseling assessments and access to resources to build skills or credentials occur at earlier stages of a service member s military tenure hiring our veterans since the president took office he has been committed to putting veterans back to work rebuilding and protecting america from the work of the joining forces initiative to encourage the private sector to hire tens of thousands of veterans to the passage of tax credits for businesses that hire veterans the president has implemented a range of policies to connect veterans to job additionally the president continues to call on congress to pass the veterans job corps proposal he announced in the state of the union to help afghanistan and iraq veterans get jobs as cops and firefighters as well as other jobs serving their communities the president s record on hiring veterans includes creating two new veterans tax credits in november the president signed into law two new tax credits for hiring veterans both of which he proposed as part of the american jobs act the returning heroes tax credit provides an incentive of up to for firms to hire unemployed veterans and the wounded warrior tax credit doubled the existing tax credit for long term unemployed veterans with service connected disabilities to both credits are set to expire at the end of this year and the president is calling on congress to extend those credits helping more veterans start businesses nine percent of all u s firms are owned by veterans and more than million veteran owned businesses employ more than million individuals between and over billion through over small business administration loans went to small businesses owned by veterans and service disabled veterans increasing access to intensive reemployment services post veterans are now able to download the veteran gold card which entitles them to enhanced reemployment services including six months of personalized case management assessments and career counseling at their local american job center developing online tools to boost veteran employment the administration launched the veterans jobs bank an easy to use tool to help veterans find job postings from companies looking to hire them it already searches over one million job postings and is growing additionally the department of labor launched my next move for veterans a new online resource that allows veterans to enter their military occupation code and discover civilian occupations for which they are well qualified increasing hiring of veterans in healthcare related fields the president challenged community health centers to hire veterans approximately one veteran per health center site over the next three years and the health resources and services administration pledged to open up career paths in addition to nursing and expand opportunities for veterans to become physician assistants hiring more veterans in the federal government the federal government has helped lead efforts to employ veterans hiring more than veterans since streamlining civilian credentialing for service members and veterans last month the department of defense established under the president s direction a military credentialing and licensing task force which will identify opportunities where service members can earn civilian occupational credentials and licenses without the need for additional training as the first action of the task force all branches of the military worked with manufacturing credentialing agencies to enable up to service members to gain industry recognized nationally portable certifications for high demand manufacturing jobs supporting our veterans and military families', 'if you want to be canadian move to canada']"
119,118,1014,118_floyd_george_floyds_rules,"['floyd', 'george', 'floyds', 'rules', 'chauvin', 'sports', 'rule', 'athletes', 'football', 'stadiums']","['look the cop murdered floyd but floyd was not a good person', 'he took down floyd', ""where's george floyd these days""]"
120,119,1013,119_troll_sock_satire_paid,"['troll', 'sock', 'satire', 'paid', 'trolls', 'account', 'report', 'accounts', 'sockpuppet', 'puppet']","['paid troll', 'paid troll', 'paid troll']"
121,120,989,120_month_hour_shy_www,"['month', 'hour', 'shy', 'www', 'computer', 'home', 'nbsp', 'online', 'weeks', 'working']","[""start working at home with google it's by far the best job i've had last wednesday i got a brand new bmw since getting a check for this weeks past i began this months ago and immediately was bringing home at least per hour i work through this link go to tech tab for work detail here is i started j o b h u g o c o m go to the site click next tab for more info and help"", ""start working at home with google it's by far the best job i've had last wednesday i got a brand new bmw since getting a check for this weeks past i began this months ago and immediately was bringing home at least per hour i work through this link go to tech tab for work detail here is i started j o b h u g o c o m go to the site click next tab for more info and help"", ""my co worker's step aunt makes an hour on the computer she has been without a job for five months but last month her income was just working on the computer for a few hours read more on this site www bar om""]"
122,121,980,121_pardon_pardons_pardoned_pardoning,"['pardon', 'pardons', 'pardoned', 'pardoning', 'convicted', 'crimes', 'charges', 'trump', 'presidential', 'president']","['pardon him', ""so that's why trump had to pardon him"", 'trump will pardon him']"
123,122,947,122_taiwan_hong_kong_china,"['taiwan', 'hong', 'kong', 'china', 'hk', 'chinese', 'mainland', 'taiwanese', 'prc', 'taiwans']","['taiwan belongs to china just like hong kong', 'maybe hong kong should join taiwan', 'taiwan is about years behind hong kong as far as the chinese taking it back over']"
124,123,934,123_jeb_bush_jebs_jindal,"['jeb', 'bush', 'jebs', 'jindal', 'brother', 'candidate', 'hillary', 'bushes', 'jebby', 'bobby']","['he is and jeb', 'well jeb that is', 'you can jeb it out']"
125,124,930,124_barr_durham_barrs_ag,"['barr', 'durham', 'barrs', 'ag', 'report', 'investigation', 'mueller', 'corrupt', 'barrack', 'william']","['and barr', 'barr is about to give them to us', 'bill barr is already there']"
126,125,928,125_merkel_genocide_peace_macron,"['merkel', 'genocide', 'peace', 'macron', 'treaty', 'angela', 'germany', 'holocaust', 'treaties', 'german']","[""of course merkel won't pay him off"", 'merkel will be gone next election in', 'merkel and macron']"
127,126,919,126_daca_immigration_recipients_numbersusa,"['daca', 'immigration', 'recipients', 'numbersusa', 'illegal', 'dacas', 'unconstitutional', 'dapa', 'amnesty', 'citizenship']","['like daca', 'like daca', 'so was daca']"
128,127,919,127_boehner_speaker_boehners_john,"['boehner', 'speaker', 'boehners', 'john', 'house', 'party', 'gop', 'tea', 'republicans', 'obama']","[""they're going to make boehner cry"", 'has boehner', 'perhaps boehner should call her']"
129,128,916,128_lobbyists_lobbying_pac_lobbyist,"['lobbyists', 'lobbying', 'pac', 'lobbyist', 'pacs', 'super', 'money', 'donations', 'campaign', 'lobby']","['lobbyists got their back', 'one again republicans are out for the lobbyists and their money not us', 'it does tell us that one of the lobbyists is a former republican and another a former democrat i would say they are lobbying both sides']"
130,129,913,129_deflection_deflect_deflecting_noted,"['deflection', 'deflect', 'deflecting', 'noted', 'cite', 'citation', 'weak', 'deflections', 'nice', 'citations']","['more deflection', 'nothing but deflection', 'what deflection']"
131,130,887,130_kasich_ohio_kasichs_john,"['kasich', 'ohio', 'kasichs', 'john', 'cruz', 'kasick', 'governor', 'candidate', 'republican', 'win']","['the kasich wing is kasich and his family', 'trump kasich', 'kasich it will give him enough to get']"
132,131,883,131_conspiracy_theory_theories_scarborough,"['conspiracy', 'theory', 'theories', 'scarborough', 'theorists', 'theorist', 'pizzagate', 'mika', 'evidence', 'rw']","[""it's a conspiracy"", 'or conspiracy', ""where's the conspiracy""]"
133,132,865,132_drumpf_drumpfs_af_donald,"['drumpf', 'drumpfs', 'af', 'donald', 'quid', 'hes', 'deplorables', 'drumpfy', 'drumf', 'drump']","['drumpf sure seems to be', 'who is drumpf', 'in other words it was drumpf being drumpf']"
134,133,835,133_ged_disney_school_homeschool,"['ged', 'disney', 'school', 'homeschool', 'homeschooling', 'fireworks', 'education', 'lunches', 'food', 'kids']","['get your ged', 'ged get it', 'get you ged']"
135,134,827,134_dims_tissue_bright_dim,"['dims', 'tissue', 'bright', 'dim', 'dimwit', 'recovery', 'tissues', 'dimocrats', 'lottery', 'youre']","['just dims being dims', 'since when do dims not', 'do dims do anything else']"
136,135,813,135_chad_hatten_shadowcrew_cyber,"['chad', 'hatten', 'shadowcrew', 'cyber', 'houston', 'shadow', 'defeated', 'predator', 'crew', 'chaddy']","['neither will you chad hatten', 'cry chad hatten', 'cry chad hatten']"
137,136,805,136_benghazi_investigation_investigations_stevens,"['benghazi', 'investigation', 'investigations', 'stevens', 'investigate', 'testimony', 'cover', 'benghazis', 'butcher', 'security']","['benghazi benghazi benghazi benghazi benghazi benghazi benghazi benghazi benghazi benghazi benghazi benghazi benghazi benghazi benghazi benghazi benghazi benghazi benghazi', 'and benghazi', 'benghazi more benghazi']"
138,137,789,137_bloomberg_bloombergs_billionaire_mayor,"['bloomberg', 'bloombergs', 'billionaire', 'mayor', 'michael', 'steyer', 'mike', 'warren', 'bernie', 'ads']","['not as much as bloomberg does', 'bloomberg is still in', 'bloomberg u']"
139,138,786,138_bolton_boltons_john_war,"['bolton', 'boltons', 'john', 'war', 'book', 'neocon', 'iran', 'warmonger', 'mustache', 'bomb']","['that would be john bolton', 'he can do that just like bolton to the un', 'call bolton']"
140,139,784,139_rasmussen_kobach_hawley_amash,"['rasmussen', 'kobach', 'hawley', 'amash', 'murkowski', 'poll', 'hatch', 'approval', 'kris', 'polls']","['rasmussen had hillary up by again that was rasmussen', 'everyone but rasmussen has him below', 'even rasmussen has trump at']"
141,140,782,140_fauci_dr_faucis_birx,"['fauci', 'dr', 'faucis', 'birx', 'anthony', 'science', 'expert', 'trump', 'doctor', 'hero']","['trump had fauci too', ""where's fauci"", 'so not fauci then']"
142,141,756,141_spurs_bone_cadet_lock,"['spurs', 'bone', 'cadet', 'lock', 'bonespurs', 'spur', 'draft', 'vietnam', 'heel', 'military']","['what about his bone spurs', 'but but bone spurs', 'bone spurs']"
143,142,748,142_bannon_steve_turley_bannons,"['bannon', 'steve', 'turley', 'bannons', 'djia', 'trump', 'alt', 'leninist', 'establishment', 'breitbart']","['bannon is only', 'that was bannon', 'bannon yourself']"
144,143,746,143_manchin_sinema_manchins_wv,"['manchin', 'sinema', 'manchins', 'wv', 'joe', 'west', 'virginia', 'coal', 'senator', 'senate']","['will president manchin be there', ""who's president manchin"", 'president manchin']"
145,144,743,144_disqus_account_comments_blog,"['disqus', 'account', 'comments', 'blog', 'svetlana', 'comment', 'troll', 'com', 'accounts', 'posts']","[""you'd still just be talking on disqus"", 'this was through disqus', 'why does disqus never work']"
146,145,737,145_kenyan_kenya_bin_laden,"['kenyan', 'kenya', 'bin', 'laden', 'obama', 'benghazi', 'stevens', 'born', 'attack', 'osama']","['still anything is better than your muslim kenyan anything', 'kenyan obama was illegal', 'it was probably the kenyan']"
147,146,734,146_aca_repeal_passed_gop,"['aca', 'repeal', 'passed', 'gop', 'republicans', 'amendments', 'replacement', 'fix', 'plan', 'law']","['as the dems did for aca', ""the aca has been the law since it's not going anywhere"", 'like the aca']"
148,147,725,147_nations_united_organization_world,"['nations', 'united', 'organization', 'world', 'japanese', 'japan', 'council', 'veto', 'corrupt', 'international']","['screw the united nations', 'united nations', 'and we need to get out if the united nations']"
